number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
2,59.3396,43.1634,34.14913045,23.27421573,0.305062376,0.45106175,97.0572,28.74873333,48.5286,45.75320286,765.35,776.9666667,764.5561457,776.2574324,0.692110117,0.621792736,69.7,289.9666667,34.85,32.8568951,126.0,113.0,119.8123533,107.6896957,0.644448891,0.692794723,78,3.0,39.0,36.76955262,6475.0,5136.666667,5079.901574,3989.164089,0.486166975,0.626320401,8030.0,1856.666667,4015.0,3785.378302,77.65,61.16666667,59.86835558,46.58162009,0.473786948,0.616969553,98.9,23.56666667,49.45,46.62190711,30.65,37.1,23.76972865,30.45599674,0.477910005,0.328426119,38.7,29.56666667,19.35,18.24335495,228.5,161.3333333,107.74971,67.93058083,0.224431235,0.349785778,403.0,125.3333333,201.5,189.9760219,2.0,2.333333333,1.732050808,2.080083823,0.562335145,0.410116318,2,1.666666667,1.0,0.942809042
5,72.952854,56.43556,59.1862407,35.65183823,1.445794601,1.024833463,122.90607,35.63470171,40.25019151,52.13614684,776.88,1011.584571,734.6152727,940.3757361,1.549693983,0.801793284,772.0,749.2911429,282.0370855,353.7550517,151.2,104.5485714,134.6650345,84.1838714,1.52027198,1.204103919,171,49.93,58.66651515,67.37648327,5329.0858,2936.285143,1130.143913,53.10362883,1.300202852,0.815740206,8958.571,1579.583429,3530.679955,3571.619731,86.386,111.4631429,57.46847303,96.99075569,1.38443342,0.783823555,135.97,81.26642857,50.48701996,43.15557417,8.9644,3.852714286,4.78979196,1.041391004,1.336710751,1.028569181,16.978,1.828142857,5.82042863,4.681080224,107.805316,61.05947429,13.45034894,0.632570253,0.789555346,0.312279964,399.97342,56.55624,149.3754129,137.8063844,2.2,2.257142857,2.168943542,2.21978343,1.594166699,1.073309834,1,1.14,0.4,0.437058815
6,75.88701667,97.03402875,55.48310692,73.65311531,1.491767403,1.214864053,192.981,51.75637125,63.54268153,68.28797506,719.65,734.90125,673.2415729,706.130708,1.720944514,1.590412597,894.6,181.01875,285.7399444,233.1171918,165.3333333,157.6125,147.4459674,145.0908304,1.70404171,1.516130067,195,51.7125,63.7878428,52.69926322,3962.904833,5527.753625,871.1107718,1801.349237,1.274968191,1.101559312,9778.571,2444.821375,3910.550893,3928.753691,69.23333333,73.654125,35.48730989,37.3055651,1.423803601,1.228153227,138.63,29.539625,53.32862135,53.84372175,7.182,9.017625,4.141513593,6.196151477,1.527950942,1.338391,12.878,3.24725,4.534001911,3.945410766,123.8377633,134.5033225,19.76061693,22.34805607,1.149631619,0.803574184,399.97342,99.9966775,140.9930559,163.8783278,2.333333333,2.7375,2.075781631,2.493171323,1.668173972,1.427570762,4,1.2375,1.247219129,1.310951467
5,73.000813,56.80420427,59.23452356,35.77073665,1.446043866,0.988070155,122.90607,36.65179816,40.2333118,52.53281772,781.26,1011.553814,738.9347485,940.3107348,1.55026366,0.79133661,772.0,749.5847571,281.5409356,353.8102051,151.8,104.3784286,135.2029946,84.11480035,1.520650653,1.168698751,171,51.38371429,58.65628696,67.11605997,5327.4858,2961.413714,1129.940851,53.42665852,1.30026419,0.78755377,8958.571,1623.483429,3529.059175,3581.748939,76.726,111.7245143,51.43751802,98.35202796,1.366101979,0.780950593,135.97,81.36337143,48.97304467,42.58256551,8.7644,3.837814286,4.73275436,1.039431943,1.344937442,0.988089468,15.978,1.842128571,5.544650525,4.665492112,109.605316,61.04376,13.70645905,0.628569037,0.80515277,0.296482861,399.97342,56.72766857,149.2162017,138.027957,2.6,2.266285714,2.491461879,2.227765273,1.56495725,1.059032032,2,1.138857143,0.8,0.444272026
3,87.89068397,78.88773038,82.23273063,74.70421298,1.031580368,1.091502232,77.0604519,7.63064,32.76915385,28.32422802,693.6,757.22,646.0963568,720.1695626,1.035209006,0.94224332,570.7,303.38,237.5462201,208.3958291,189.3333333,167.6,174.3473047,156.6228177,1.015646033,1.089679608,184,16.8,78.72878903,67.85160278,5160.0,5816.2,4392.210285,5205.163712,0.967688806,0.876133071,5995.0,2773.8,2480.070295,2190.275727,47.9,48.08,40.05571403,38.79518273,0.947114975,0.870732442,62.3,24.92,25.44182907,27.86663955,14.53,17.018,9.279011519,12.50180727,0.797888622,0.735634567,25.61,10.662,10.46797338,9.713562477,55.0,58.8,52.19551642,56.22109998,1.046586611,0.957682775,43.0,24.4,17.90716802,17.26731016,3.0,3.4,2.466212074,2.954176939,0.936888308,0.84636583,4,1.8,1.632993162,1.496662955
5,37.99742,36.73486056,25.8610331,26.31295192,1.269293061,1.130262326,76.809,19.29092778,31.66529431,31.033364,898.6,1050.152778,858.5922434,989.469856,1.564824118,0.986033751,764.1,716.1633333,269.1885362,325.1628929,113.2,99.22222222,97.66286984,79.26136426,1.465980718,1.234994091,171,47.21666667,62.09154532,70.56325417,3262.2858,1835.238333,715.2665356,45.55719853,1.183291507,1.034695769,8958.571,994.7616667,3004.834732,2769.912003,90.506,109.0866667,54.68263959,69.14753979,1.316946445,0.840258268,148.87,78.69666667,61.17617301,57.29020296,35.2644,14.10666667,10.40817803,1.516690441,1.007944335,0.951690296,104.778,9.793333333,38.84010748,30.28590435,120.405316,65.90921111,16.96816827,0.962814687,0.915918974,0.876084404,399.97342,44.42967778,147.6934664,124.7767502,2.6,2.205555556,2.491461879,2.14978714,1.56495725,1.287507244,2,1.061111111,0.8,0.593457124
6,93.85247833,52.69733116,71.17494203,34.89831685,1.585425037,1.550259381,151.2596,13.52446343,56.53848611,48.14710852,712.0166667,1004.203397,670.7731287,937.3739776,1.72523105,0.940991759,810.6,704.6598617,279.1949821,344.1837063,176.8333333,110.1121961,157.1372289,87.64375332,1.705297121,1.567642469,205,30.31227749,66.40134704,73.74582203,4872.238167,3110.173736,1253.616079,65.7503409,1.464125426,1.008340839,9064.571,2049.881192,3477.011301,3797.635002,63.78666667,111.4444105,37.09206288,89.57485912,1.441924259,0.82319594,138.63,77.17424474,51.03267962,46.45611716,9.343666667,4.963226732,5.40415287,1.271937259,1.539396225,1.226157547,19.678,2.87778639,6.061713775,5.621527229,107.6710967,99.82623314,13.97951207,1.100321559,0.925953228,0.369309559,399.97342,91.5327334,147.851057,166.4981451,2.333333333,2.101719052,2.289428485,2.08421171,1.772139388,1.32433722,1,1.046383888,0.471404521,0.302278492
3,26.69063733,15.44667275,22.77453062,14.22076833,0.956333737,0.774256912,34.144912,7.639927253,14.04130106,6.764992982,722.7666667,778.5233333,719.3023655,777.8492292,1.093876466,0.650178697,169.4,529.2613333,69.9166329,31.84114407,138.6666667,106.5933333,132.404179,103.3138394,1.055424255,0.742949411,97,56.77333333,39.85250585,27.88789383,2394.333333,2227.646667,2336.915836,2198.90243,1.075232974,0.616013874,1247.0,1620.1,511.1988089,343.7085032,16.43333333,19.42066667,9.394322813,10.78874489,0.792498991,0.157935373,26.7,18.66933333,11.12784296,12.50175079,24.9,36.282,19.09280542,28.02746111,0.849176476,0.294507074,41.3,33.22666667,17.99685158,19.40915272,67.66666667,70.37333333,41.03942272,48.11522308,0.656177283,0.579501393,144.0,52.16,65.44378419,62.43370315,2.666666667,2.673333333,2.620741394,2.627835105,1.08219553,0.598057706,1,1.98,0.471404521,0.468994196
1,127.6,127.6,127.6,127.6,0.0,0.0,0.0,0.0,0.0,0.0,869.0,869.0,869.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,123.0,123.0,0.0,0.0,0,0.0,0.0,0.0,6240.0,6240.0,6240.0,6240.0,0.0,0.0,0.0,0.0,0.0,0.0,191.7,191.7,191.7,191.7,0.0,0.0,0.0,0.0,0.0,0.0,17.5,17.5,17.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0,0.0,0.0,0.0
5,72.942289,51.1929003,59.27173424,34.91067641,1.448003392,1.364100011,121.3276,20.12271217,39.81774444,44.18021297,786.82,1003.61174,744.8945997,937.5991303,1.551717339,0.937509112,810.6,693.4562356,279.2013854,342.2530466,162.0,114.7109315,141.5082766,89.80166426,1.503679049,1.420057032,205,36.32024634,69.52121978,79.2961481,5168.6858,2953.694281,1123.331226,66.53072121,1.309618693,0.998665788,8958.571,1913.318806,3412.738535,3637.901401,74.83,108.1961124,55.68190733,85.59814884,1.375170975,0.800978221,127.05,75.55080831,49.27792203,49.76394985,9.7844,5.307873749,5.328768146,1.343703273,1.378821289,1.214850237,15.978,2.679039261,5.46601989,5.737369713,107.005316,91.27681249,12.66097872,1.073353695,0.755118631,0.30532054,399.97342,85.43604356,150.5737776,161.5364511,2.6,2.111624326,2.491461879,2.088334437,1.56495725,1.301728296,2,1.006928406,0.8,0.365795528
4,81.75669875,79.85850946,76.28283317,75.3081955,1.312595878,1.165335965,81.482,28.31851054,32.89036869,29.9507651,741.475,782.592,723.24614,763.350435,1.362745785,1.080558617,443.7,357.2532,157.8039983,163.1546197,168.75,158.488,161.7142868,151.4676948,1.342443743,1.187962772,139,53.776,51.32920709,50.81001728,6502.75,6171.128,6126.394078,5918.339977,1.33216904,1.098433595,5390.0,2679.928,2072.768363,1668.06615,44.3375,43.114,34.2584661,32.23651336,1.166444656,0.830423396,64.05,29.9744,28.47181446,30.75882156,16.425,18.2672,14.91904295,16.42522569,1.29351873,0.965019591,19.7,10.6264,7.15973987,8.01357624,61.75,55.788,51.63776065,49.26741554,1.244889386,1.032428234,82.0,26.588,30.87373479,23.54041325,3.5,3.628,3.30975092,3.420903216,1.333736027,1.04142042,3,1.888,1.118033989,1.197337045
5,85.09708,49.18908571,67.63969127,33.36143117,1.442079854,1.591757412,141.2506,5.297857143,46.27414309,43.54582536,782.32,1028.378571,743.1563211,966.8796868,1.553924258,0.941016959,764.1,707.9,275.0034283,333.6411464,164.6,108.7857143,144.5991885,85.83539946,1.512348447,1.559708842,185,18.57142857,66.02605546,74.01561473,6372.4858,3104.459429,1269.023164,51.58083459,1.27621272,1.290626736,12368.571,1279.183429,4463.145229,4267.08633,84.646,110.5114286,56.78969216,81.30690462,1.388224177,0.847711323,135.97,80.49571429,49.23467136,48.93766441,11.4044,5.691142857,5.69284653,1.222499062,1.29952613,1.398337715,25.478,1.744571429,8.316821354,7.45777051,113.205316,71.51518857,13.74837561,0.82214391,0.823348034,0.670901006,399.97342,57.12766857,149.4448278,137.6769238,3.0,2.357142857,2.701920077,2.226834968,1.494365083,1.390502467,4,0.928571429,1.549193338,1.04246568
5,88.936744,51.39246399,70.35897547,35.03634358,1.445824393,1.426354778,122.90607,16.93612551,46.48233522,44.26764803,743.42,1003.143998,696.3138494,937.533336,1.538526557,0.92044491,810.6,696.5951756,296.615154,341.6651669,170.6,113.8741799,148.7373524,89.5195542,1.506997782,1.434027714,205,32.1420301,70.40624972,78.02698962,4617.8858,3003.407078,1043.153792,67.81645841,1.324548305,0.91058658,8958.571,2074.107395,2958.021492,3661.839248,71.69,109.57912,52.69696748,87.95652306,1.354051962,0.794098186,127.05,75.738132,50.28149162,48.6694269,7.8044,5.241529139,4.411557372,1.340331356,1.374615052,1.104990365,12.878,2.936318024,4.489231275,5.641755362,89.605316,96.65649277,8.418911599,1.104986179,0.457810242,0.207851847,399.97342,92.61405914,155.3296092,166.6696994,2.4,2.092628329,2.352158045,2.076543507,1.589026915,1.272206702,1,1.027402547,0.489897949,0.289910885
5,48.278516,36.90946537,32.33374203,26.66068749,1.315150928,1.279581448,85.96538,16.73914216,35.19280924,31.7286422,697.76,1029.316768,640.2133381,954.0752366,1.516808718,0.783605765,910.3,783.2227217,319.4331517,357.6557925,174.4,109.5880923,152.1717729,84.5904225,1.509100922,1.464779776,217,31.42041312,70.96647096,78.44972203,2437.6858,1859.197448,434.9020544,29.40506981,0.908857518,0.570568716,8568.571,1561.100243,3123.110332,3220.553322,68.694,107.6577157,42.75464468,76.95552516,1.347292012,0.646107929,138.63,86.10328068,45.7742913,48.92473574,8.1504,6.27399757,3.196702361,1.024176563,0.980672283,0.71443516,26.578,4.80072904,9.724935817,10.04877658,79.405316,40.05867558,16.98889492,0.629877184,1.228394068,1.032585702,199.97342,24.28518834,66.30079888,64.75591445,2.2,2.458080194,1.820564203,2.222579106,1.414279065,1.08727941,4,1.187120292,1.469693846,1.232559383
6,92.85524167,60.56879533,68.700024,36.73688744,1.545324419,1.451616704,192.981,25.98528467,65.02920291,64.83388215,737.6666667,1005.029333,699.5227201,943.9523396,1.733303961,1.035527409,786.5,693.2986667,269.1075601,334.3608517,166.0,106.84,147.8477362,86.73621481,1.702822625,1.647113148,199,25.90666667,64.61166045,67.52323847,4926.904833,3021.295467,1225.619804,65.88867924,1.433509827,1.183480757,9778.571,1303.237867,3734.805988,3995.917432,69.5,106.1104,35.67446971,70.95421865,1.426418382,0.858809195,138.63,75.7936,53.23519794,51.72043987,7.943666667,4.932533333,4.962965841,1.318122271,1.60481052,1.442587718,12.878,1.654666667,4.008321414,5.241839853,109.3377633,69.92084267,14.06450304,0.934471158,0.952020166,0.75447002,399.97342,53.31915733,147.0428066,136.9374412,2.833333333,2.426666667,2.615320972,2.280879788,1.707475435,1.422834809,3,1.013333333,1.213351648,1.035030864
2,30.93685,35.1693875,25.89321743,30.19246462,0.534859794,0.421578181,33.8603,24.6643625,16.93015,16.39254725,1029.65,936.6875,960.1597263,873.5365506,0.626438253,0.685665437,743.7,114.4375,371.85,360.0422143,116.0,131.0,99.27738917,114.5554953,0.552664622,0.440175862,120,89.0,60.0,58.09475019,2254.1255,2817.344125,75.08832799,209.002372,0.002550028,0.001615237,4505.749,2816.405875,2252.8745,2181.336355,8.8,8.875,8.794884877,8.870190915,0.692565973,0.652930421,0.6,2.5,0.3,0.290473751,9.53,11.8225,2.594609797,4.251228435,0.093678181,0.062424339,18.34,11.5525,9.17,8.878814321,11.012915,13.75968625,0.75383022,1.752107819,0.00908601,0.005813599,21.97417,13.74031375,10.987085,10.63819931,3.5,3.625,3.464101615,3.590938482,0.682908105,0.61937629,1,1.375,0.5,0.484122918
4,76.4445625,51.71268527,59.35667247,35.29864197,1.199540745,1.289832539,121.3276,14.47764224,43.82335412,44.29607211,794.0,999.5224474,741.6293489,933.3836833,1.315004308,0.899857107,810.6,651.0579111,311.7434923,342.7864398,164.5,115.4201091,139.0005138,90.43111643,1.256700567,1.338869278,205,22.91504287,77.52580216,79.38511045,4235.85725,2991.563528,669.5565878,69.80307051,1.015407123,0.81275098,8958.571,2094.328911,3194.938946,3647.165743,77.2375,108.7275916,53.52796465,85.96937296,1.105182174,0.769820374,127.05,73.45089634,54.83075523,49.62215804,8.1805,5.316933749,4.035568999,1.36910646,1.112098197,1.04140515,12.878,2.944952455,4.948155288,5.655926025,108.756645,97.67588008,7.55238461,1.151679397,0.336261916,0.203117117,399.97342,93.51663746,168.3010468,167.1668917,2.25,2.077942323,2.213363839,2.064215132,1.368922361,1.208698574,1,0.83086516,0.433012702,0.268080803
